ROI,PN,Brush (2 of 3),VF0.16 (any),VF2.0 (any),AirPuff (2of3),Cold (any),Heat (Any),Cut. Input
444.114,,0,0,1,0,0,1,1
444.115,,0,1,1,0,0,1,1
444.116,,0,0,1,0,0,1,1
444.117,,0,1,1,0,0,1,1
444.118,,0,1,1,0,0,1,1
444.119,,0,0,0,0,0,1,1
444.120,,0,1,1,0,0,1,1
444.121,,0,1,0,0,0,1,1
444.122,,0,0,0,0,0,1,1
444.123,,0,0,0,0,0,1,1
444.124,,0,0,0,0,0,1,1
444.125,,0,1,0,0,0,1,1
444.126,,0,0,0,0,0,1,1
444.127,,0,0,1,0,0,1,1
444.128,,0,0,0,0,1,1,1
444.129,,0,0,0,0,0,1,1
444.130,,0,0,0,0,0,1,1
444.131,,0,0,1,0,1,1,1
444.132,,0,0,0,0,0,1,1
444.133,,0,0,1,0,0,1,1
444.134,,0,1,1,0,0,1,1
444.135,,0,1,1,0,0,1,1
444.136,,0,1,1,0,1,1,1
444.137,,0,0,1,0,1,1,1
444.138,,1,1,1,0,0,1,1
444.139,,0,1,1,0,0,1,1
444.140,,0,0,1,0,0,1,1
444.141,,0,0,1,0,1,1,1
444.142,,1,1,1,0,0,1,1
444.143,,0,0,0,0,0,1,1
444.144,,0,0,0,0,0,1,1
444.145,,1,0,1,0,0,1,1
444.146,,0,0,0,0,0,1,1
444.147,,0,1,1,1,1,1,1
444.148,,1,1,1,0,0,1,1
444.149,,0,0,0,0,1,1,1
444.150,,1,0,1,0,1,0,1
444.151,,0,0,0,0,0,0,1
444.152,,0,0,0,0,0,0,0
444.153,,1,0,1,1,1,0,1
444.154,,0,1,1,0,0,1,1
444.155,,0,0,0,0,1,0,1
444.156,,0,0,0,0,0,1,1
444.157,,1,1,1,0,1,1,1
444.158,,1,1,1,0,0,1,1
444.159,,0,0,1,0,0,1,1
444.160,,0,1,1,0,0,1,1
444.161,,1,0,1,1,0,1,1
444.162,,0,1,1,0,1,1,1
444.163,,0,0,1,0,1,1,1
444.164,,0,1,1,1,0,1,1
444.165,,0,0,0,0,0,1,1
444.166,,0,0,0,0,0,1,1
444.167,,0,1,1,1,1,1,1
444.168,,1,1,1,1,1,1,1
444.169,,0,1,1,0,0,1,1
444.170,,1,1,1,1,0,1,1
444.171,,0,0,1,0,0,1,1
444.172,,1,1,1,0,1,1,1
444.173,,1,1,1,0,1,0,1
444.174,,0,0,1,0,1,0,1
444.175,,0,0,1,0,1,0,1
444.176,,0,0,1,0,0,1,1
444.177,,0,0,0,1,1,1,1
444.178,,0,0,0,0,0,0,0
444.179,,0,0,1,0,0,1,1
444.180,,1,1,1,0,0,1,1
444.181,,0,0,1,0,0,0,1
444.182,,0,0,1,0,0,0,1
444.183,,0,0,1,0,0,0,1
444.184,,0,0,1,0,0,1,1
444.185,,0,0,0,0,0,0,1
444.186,,0,0,0,0,0,0,1
444.187,,0,0,0,0,0,1,1
444.188,,0,0,0,0,0,0,1
444.189,,0,1,0,0,0,1,1
444.190,,0,0,0,0,0,0,1
444.191,,1,0,1,0,1,1,1
444.192,,0,0,1,0,0,1,1
444.193,,0,1,1,0,0,1,1
444.194,,0,0,1,0,1,1,1
444.195,,0,0,1,1,1,1,1
444.196,,0,0,0,0,0,1,1
444.197,,0,0,1,1,1,1,1
444.198,,0,1,1,0,0,0,1
444.199,,0,0,1,0,0,0,1
444.200,,0,0,1,0,0,0,1
444.201,,0,0,1,0,0,1,1
444.202,,0,1,1,0,0,0,1
444.203,,0,0,0,0,1,0,1
444.204,,0,0,1,0,0,0,1
444.205,,0,0,0,0,0,1,1
